"","DEK1.bam","DEK2.bam","DEK3.bam","DEK4.bam","DEK5.bam","DEK6.bam","DEK7.bam","DEK8.bam"
"Ern1",2.70275183948413,1.9249710008198,2.47945131337175,1.35682020193062,2.48939598469191,2.53035099176749,2.01595568413075,1.98238199324722
"SNORND104",45.2596409730563,53.4087159597319,57.15961761093,46.2254606726706,46.1160606164177,43.981248905055,53.5521510884469,61.4907233161195
"Tex2",0.890562155478269,0.320399201033649,1.35568313026626,1.1369579223777,1.54386358938776,1.76497596116376,0.508379336194895,1.1203119731731
"Milr1",0,0,0,0.190789047587674,0.2114861270407,0,0.620432071531162,0.375991494770123
"Polg2",10.4928868495227,10.7162578926917,10.6868943182829,4.32129039407979,7.75991404603182,8.13643212424825,9.41518925644084,8.60120714318148
"Ddx5",166.994763531468,136.548539225599,141.097795573199,168.383038362066,161.330859117239,162.104262605164,149.76917383869,153.860775007763
"Mir3064",0,0,0,0,0,0,0,0
"AABR07030590.1",0,0,0,0,0,0,0,0
"Cep95",8.85714763196883,11.1857647463002,8.52261326628574,6.79832257944394,10.1490407885448,8.34615363837031,6.37377793308665,6.64476734505301
"Smurf2",13.0870046462847,17.6046444499205,17.2665732456255,15.5105974733348,18.5797593456176,16.8228417678294,12.7551075841092,13.381875334076
"AABR07030593.1",0,0,0,0,0,0,0,0.874334883633631
"Kpna2",73.1179701887977,53.9078877852252,72.9136515631228,80.2314860445739,84.7088613440232,75.954459457743,65.0919696685501,81.3436025652673
"AABR07030598.1",0,0,0,0,0,0,0,0
"RGD1565033",15.1561546629054,14.7030710966035,14.0192359851965,14.1437786419536,17.6814316917407,10.3879435567268,16.8007822148089,16.1046342432087
"Bptf",15.832260488291,15.708320867956,9.93066765997398,10.0117460499863,11.9170075074871,11.4015670010013,10.2135466888014,9.81315311374803
"Nol11",11.7666661768392,13.3772765023583,10.1502106481805,12.6937604400579,12.5721335168559,12.9388221867972,13.8004370525539,10.6576307821191
